NodeNumber,xDisp,yDisp,zDisp
2023483,4.2582983e+02,-4.8690002e+01,-1.0575000e+02
2023484,4.2570996e+02,-5.0549988e+01,-1.0200000e+02
2023485,4.2873022e+02,-4.5989990e+01,-9.8100006e+01
2023486,4.3136987e+02,-4.3070007e+01,-9.5049988e+01
2023487,4.3466992e+02,-3.7029999e+01,-9.0699982e+01
2023488,4.3951978e+02,-3.3800018e+01,-8.7339996e+01
2023489,4.4511011e+02,-2.7329987e+01,-8.2189972e+01
2023490,4.5145020e+02,-2.3649994e+01,-7.7690002e+01
2023491,4.5669995e+02,-1.8019989e+01,-7.3040009e+01
2023492,4.6192017e+02,-1.4360016e+01,-6.8629974e+01
2023493,4.2072998e+02,-4.9070007e+01,-1.0392001e+02
2023494,4.2774023e+02,-4.2580017e+01,-9.8250000e+01
2023495,4.3272974e+02,-3.8950012e+01,-9.3700012e+01
2023496,4.3830005e+02,-3.2720001e+01,-8.8500000e+01
2023497,4.4315967e+02,-2.9070007e+01,-8.4470001e+01
2023498,4.4728003e+02,-2.2429993e+01,-7.9960022e+01
2023499,4.5250024e+02,-1.9160004e+01,-7.6500000e+01
2023500,4.5643994e+02,-1.3369995e+01,-7.2380005e+01
2023501,4.6073975e+02,-1.0230011e+01,-6.8699982e+01
2023502,4.6413013e+02,-5.4700012e+00,-6.5100006e+01
2023503,4.2880981e+02,-3.7399994e+01,-9.6690002e+01
2023504,4.3363989e+02,-3.4630005e+01,-9.2350006e+01
2023505,4.4041968e+02,-2.8220001e+01,-8.7519989e+01
2023506,4.4440991e+02,-2.5260010e+01,-8.2750000e+01
2023507,4.4741016e+02,-1.9779999e+01,-7.8889984e+01
2023508,4.5197021e+02,-1.5990021e+01,-7.6709991e+01
2023509,4.5395972e+02,-1.1029999e+01,-7.2529999e+01
2023510,4.5681982e+02,-9.2500000e+00,-6.9899994e+01
2023511,4.5887012e+02,-5.3299866e+00,-6.6529999e+01
2023512,4.6046021e+02,-5.7000122e+00,-6.3380005e+01
2023513,3.3754004e+02,-3.0200012e+01,-1.0985999e+02
2023514,3.7719971e+02,-2.5380005e+01,-1.0958002e+02
2023515,4.0475000e+02,-3.2329987e+01,-1.0964001e+02
2023516,4.2038037e+02,-4.2270020e+01,-1.0720001e+02
2023517,3.4010010e+02,-2.7019989e+01,-1.0876001e+02
2023518,3.7391992e+02,-3.0070007e+01,-1.1047000e+02
2023519,4.1311963e+02,-3.2029999e+01,-1.0797000e+02
2023520,4.2308984e+02,-5.1010010e+01,-1.0856000e+02
2023521,3.3960986e+02,-2.1020020e+01,-1.0884998e+02
2023522,3.8067969e+02,-2.4429993e+01,-1.0844000e+02
2023523,4.1419043e+02,-3.4410004e+01,-1.1001999e+02
2023524,4.1850000e+02,-4.5569977e+01,-1.0575000e+02
2023525,2.7939990e+02,2.6709991e+01,-7.2899994e+01
2023526,2.5859033e+02,3.4820007e+01,-6.6059998e+01
2023527,2.5231982e+02,3.6729980e+01,-5.6459991e+01
2023528,2.5495020e+02,4.6779999e+01,-6.6989990e+01
2023529,2.5409961e+02,4.9989990e+01,-6.5549988e+01
2023530,2.3035986e+02,5.6609985e+01,-5.9080017e+01
2023531,2.7564990e+02,1.6000000e+01,-6.9380005e+01
2023532,2.8504004e+02,1.0259979e+01,-6.5209991e+01
2023533,2.8160010e+02,1.5209991e+01,-6.1160004e+01
2023534,2.7736963e+02,2.8329987e+01,-7.9690002e+01
2023535,2.8802002e+02,2.8469971e+01,-9.0769989e+01
2023536,2.8450000e+02,1.8600006e+01,-8.2209991e+01
2023537,3.7447998e+02,-3.5250000e+01,-8.1660004e+01
2023538,3.8897974e+02,-3.2029999e+01,-7.0720001e+01
2023539,4.1442993e+02,-2.3679993e+01,-6.1899994e+01
2023540,4.1993994e+02,-1.9089996e+01,-5.9690002e+01
2023541,4.2189990e+02,-1.5369995e+01,-6.2199982e+01
2023542,4.2298022e+02,-1.4559998e+01,-5.9970001e+01
2023543,4.2479980e+02,-1.4460022e+01,-5.7799988e+01
2023544,4.2658984e+02,-1.6380005e+01,-5.1720001e+01
2023545,4.3137012e+02,-1.5429993e+01,-4.5850006e+01
2023546,4.3536011e+02,-1.6410004e+01,-3.9760010e+01
2023547,3.6167993e+02,-4.0049988e+01,-8.2380005e+01
2023548,3.8823999e+02,-3.1059998e+01,-7.2009979e+01
2023549,4.1607983e+02,-2.3920013e+01,-6.7500000e+01
2023550,4.2397998e+02,-1.6059998e+01,-6.0189972e+01
2023551,4.2587012e+02,-1.4859985e+01,-5.7149994e+01
2023552,4.2968970e+02,-1.6639984e+01,-5.1329987e+01
2023553,4.2913989e+02,-1.7159973e+01,-4.9020020e+01
2023554,4.3033984e+02,-1.6079987e+01,-4.8320007e+01
2023555,4.3203979e+02,-1.6279999e+01,-4.4179993e+01
2023556,4.3554004e+02,-1.5929993e+01,-3.9149994e+01
2023557,3.5569995e+02,-4.1040009e+01,-8.0699982e+01
2023558,3.7960010e+02,-3.5070007e+01,-7.3350006e+01
2023559,4.0745996e+02,-2.4209991e+01,-6.7540009e+01
2023560,4.2882007e+02,-1.7049988e+01,-5.5430023e+01
2023561,4.3071997e+02,-1.5940002e+01,-5.2450012e+01
2023562,4.2850977e+02,-1.7170013e+01,-5.0699982e+01
2023563,4.3043994e+02,-1.6739990e+01,-4.9559998e+01
2023564,4.3111011e+02,-1.6750000e+01,-4.6750000e+01
2023565,4.3350000e+02,-1.6299988e+01,-4.3529999e+01
2023566,4.3559985e+02,-1.6149994e+01,-3.9279999e+01
2023567,3.4892017e+02,-4.2729980e+01,-8.6569977e+01
2023568,3.7414990e+02,-3.5709991e+01,-7.7039978e+01
2023569,4.0020972e+02,-2.7440002e+01,-7.1640015e+01
2023570,4.1936987e+02,-1.9639984e+01,-6.5920013e+01
2023571,4.2728979e+02,-1.8009979e+01,-5.4670013e+01
2023572,4.2905981e+02,-1.7380005e+01,-5.3610016e+01
2023573,4.2819019e+02,-1.6840027e+01,-5.2059998e+01
2023574,4.3016992e+02,-1.6910004e+01,-4.9580017e+01
