NodeNumber,xDisp,yDisp,zDisp
2023483,4.2723022e+02,-8.6300018e+01,-8.8429993e+01
2023484,4.2670996e+02,-8.7439987e+01,-8.6479980e+01
2023485,4.2800024e+02,-8.3459991e+01,-8.4549988e+01
2023486,4.3005981e+02,-7.9960007e+01,-8.2820007e+01
2023487,4.3293994e+02,-7.3859985e+01,-7.9969971e+01
2023488,4.3649976e+02,-7.0460022e+01,-7.7759979e+01
2023489,4.4121997e+02,-6.4049988e+01,-7.3409973e+01
2023490,4.4649023e+02,-6.0479980e+01,-6.9889984e+01
2023491,4.5153003e+02,-5.4589996e+01,-6.5470001e+01
2023492,4.5651978e+02,-5.0799988e+01,-6.1609985e+01
2023493,4.2406982e+02,-8.8080002e+01,-8.7900024e+01
2023494,4.2864990e+02,-8.1550003e+01,-8.4130005e+01
2023495,4.3246997e+02,-7.7180008e+01,-8.1290009e+01
2023496,4.3675024e+02,-7.0839996e+01,-7.7720001e+01
2023497,4.4068994e+02,-6.6329987e+01,-7.4979980e+01
2023498,4.4432007e+02,-5.9809998e+01,-7.1080017e+01
2023499,4.4840991e+02,-5.6420013e+01,-6.8729980e+01
2023500,4.5168018e+02,-5.0729980e+01,-6.4890015e+01
2023501,4.5573975e+02,-4.7339996e+01,-6.1889984e+01
2023502,4.5923999e+02,-4.2190002e+01,-5.8200012e+01
2023503,4.2992993e+02,-7.9109985e+01,-8.3589996e+01
2023504,4.3390015e+02,-7.5009979e+01,-8.0350006e+01
2023505,4.3805981e+02,-6.8669983e+01,-7.7199982e+01
2023506,4.4178979e+02,-6.4580017e+01,-7.4370026e+01
2023507,4.4477002e+02,-5.8970001e+01,-7.0809998e+01
2023508,4.4868018e+02,-5.4200012e+01,-6.9319977e+01
2023509,4.5091968e+02,-4.9190002e+01,-6.5000000e+01
2023510,4.5387012e+02,-4.6269989e+01,-6.2910004e+01
2023511,4.5612988e+02,-4.1269989e+01,-5.9470001e+01
2023512,4.5750024e+02,-4.0359985e+01,-5.6679993e+01
2023513,3.4304980e+02,-6.3200012e+01,-9.1190002e+01
2023514,3.7912988e+02,-6.2330017e+01,-9.1180023e+01
2023515,4.0818994e+02,-6.8970001e+01,-9.0210022e+01
2023516,4.2224023e+02,-7.9590012e+01,-8.8730011e+01
2023517,3.4408008e+02,-6.0250000e+01,-9.1050018e+01
2023518,3.7914014e+02,-6.4070007e+01,-9.1199982e+01
2023519,4.1481982e+02,-6.9619995e+01,-8.9210022e+01
2023520,4.2714014e+02,-8.7639999e+01,-8.9989990e+01
2023521,3.4788965e+02,-5.2920013e+01,-8.9659973e+01
2023522,3.8597998e+02,-5.8149994e+01,-8.8549988e+01
2023523,4.1763037e+02,-7.1140015e+01,-9.1049988e+01
2023524,4.2358008e+02,-8.6499985e+01,-8.8970001e+01
2023525,2.6642969e+02,1.7489990e+01,-3.8889984e+01
2023526,2.6910010e+02,2.8250000e+01,-4.2059998e+01
2023527,2.6266016e+02,3.3470001e+01,-3.6489990e+01
2023528,2.4635010e+02,3.8459991e+01,-3.7949982e+01
2023529,2.4664990e+02,4.1010010e+01,-3.1130005e+01
