NodeNumber,xDisp,yDisp,zDisp
2023483,4.3749976e+02,-8.2970016e+01,-9.5440002e+01
2023484,4.3960986e+02,-8.1429993e+01,-9.1049988e+01
2023485,4.4278979e+02,-7.7580002e+01,-8.7529999e+01
2023486,4.4649976e+02,-7.4080002e+01,-8.4380005e+01
2023487,4.4899023e+02,-7.0130005e+01,-8.0809967e+01
2023488,4.5309985e+02,-6.6820007e+01,-7.7459991e+01
2023489,4.5682983e+02,-6.2380005e+01,-7.3399963e+01
2023490,4.6083008e+02,-5.9789978e+01,-6.9529999e+01
2023491,4.6415015e+02,-5.6139984e+01,-6.5390015e+01
2023492,4.6774976e+02,-5.3549988e+01,-6.1299988e+01
2023493,4.3166992e+02,-8.3860001e+01,-9.3220001e+01
2023494,4.3835010e+02,-7.7720016e+01,-8.8740021e+01
2023495,4.4234985e+02,-7.3500000e+01,-8.5290009e+01
2023496,4.4638989e+02,-6.8480011e+01,-8.1000000e+01
2023497,4.5085986e+02,-6.4109985e+01,-7.7350006e+01
2023498,4.5465991e+02,-5.8979980e+01,-7.3140015e+01
2023499,4.5867017e+02,-5.5860016e+01,-6.9709991e+01
2023500,4.6158008e+02,-5.2029999e+01,-6.5589996e+01
2023501,4.6487988e+02,-4.9739990e+01,-6.2139984e+01
2023502,4.6801001e+02,-4.6269989e+01,-5.8140015e+01
2023503,4.3598999e+02,-7.6269989e+01,-8.9579987e+01
2023504,4.3965015e+02,-7.1679993e+01,-8.5559998e+01
2023505,4.4391968e+02,-6.6859985e+01,-8.1539978e+01
2023506,4.4770972e+02,-6.3110016e+01,-7.8029999e+01
2023507,4.5106982e+02,-5.8380005e+01,-7.3779999e+01
2023508,4.5452002e+02,-5.4670013e+01,-7.1099976e+01
2023509,4.5713989e+02,-5.1089996e+01,-6.6500000e+01
2023510,4.6022998e+02,-4.8779999e+01,-6.3589996e+01
2023511,4.6289014e+02,-4.5229980e+01,-5.9580017e+01
2023512,4.6498022e+02,-4.4420013e+01,-5.6260010e+01
2023513,3.4604004e+02,-6.9170013e+01,-9.8549988e+01
2023514,3.8404980e+02,-6.3330017e+01,-1.0073001e+02
2023515,4.1518994e+02,-6.7239990e+01,-1.0108002e+02
2023516,4.3182031e+02,-7.7490005e+01,-9.8660004e+01
2023517,3.4473975e+02,-6.7200012e+01,-9.8340027e+01
2023518,3.8181982e+02,-6.7489990e+01,-1.0062000e+02
2023519,4.2089990e+02,-6.7829987e+01,-1.0007001e+02
2023520,4.3316992e+02,-8.6279999e+01,-9.9529999e+01
2023521,3.4558984e+02,-5.9210022e+01,-9.7689972e+01
2023522,3.8634961e+02,-6.0399994e+01,-9.7899994e+01
2023523,4.2189014e+02,-7.0290009e+01,-1.0179999e+02
2023524,4.2735986e+02,-8.3429993e+01,-9.7079987e+01
2023525,2.7881006e+02,-1.2250000e+01,-5.9889984e+01
2023526,2.7368018e+02,-4.1000061e+00,-5.6010010e+01
2023527,2.5702002e+02,2.9299927e+00,-4.8779999e+01
2023528,2.5654004e+02,1.0790009e+01,-5.4079987e+01
2023529,2.6177979e+02,9.2500000e+00,-5.6429993e+01
2023530,2.5179980e+02,2.0279999e+01,-4.1690002e+01
2023531,2.8242969e+02,-2.0279999e+01,-5.6139984e+01
2023532,2.8064014e+02,-2.4020020e+01,-5.4879974e+01
2023533,2.8322998e+02,-1.7010010e+01,-5.0279999e+01
2023534,2.7700000e+02,-1.0380005e+01,-6.6670013e+01
2023535,2.8846045e+02,-2.7400208e+00,-7.6820007e+01
2023536,2.8507031e+02,-1.7769989e+01,-7.0679993e+01
2023537,3.8822998e+02,-6.1010010e+01,-8.3100006e+01
2023538,3.9444995e+02,-6.3549988e+01,-7.4319977e+01
2023539,4.1053003e+02,-5.8719971e+01,-6.2889984e+01
2023540,4.1675000e+02,-5.4989990e+01,-6.0070007e+01
2023541,4.2097998e+02,-5.2279999e+01,-5.7809998e+01
2023542,4.2426001e+02,-5.2559998e+01,-5.2459991e+01
2023543,4.2668018e+02,-5.2529999e+01,-4.9929993e+01
2023544,4.2910986e+02,-5.3179993e+01,-4.4500000e+01
2023545,4.3341992e+02,-5.2699982e+01,-3.9179993e+01
2023546,4.3717993e+02,-5.3309998e+01,-3.2869995e+01
2023547,3.7743970e+02,-6.5309998e+01,-8.4950012e+01
2023548,3.9518970e+02,-6.1200012e+01,-7.1599976e+01
2023549,4.1788989e+02,-5.8619995e+01,-6.2180023e+01
2023550,4.2402979e+02,-5.3569977e+01,-5.4689972e+01
2023551,4.2596973e+02,-5.2329987e+01,-5.1600006e+01
2023552,4.2969995e+02,-5.3609985e+01,-4.6220001e+01
2023553,4.2955981e+02,-5.3339996e+01,-4.4050018e+01
2023554,4.3170996e+02,-5.2989990e+01,-4.1680023e+01
2023555,4.3348022e+02,-5.3080017e+01,-3.7480011e+01
2023556,4.3725000e+02,-5.3019989e+01,-3.2289978e+01
2023557,3.7078979e+02,-6.6339996e+01,-8.3079987e+01
2023558,3.8856982e+02,-6.4490021e+01,-7.2399994e+01
2023559,4.1164990e+02,-5.8140015e+01,-6.1270020e+01
2023560,4.2921021e+02,-5.4730011e+01,-4.9550018e+01
2023561,4.3115015e+02,-5.3570007e+01,-4.6519989e+01
2023562,4.3043994e+02,-5.3899994e+01,-4.3369995e+01
2023563,4.3191016e+02,-5.3470001e+01,-4.2500000e+01
2023564,4.3253003e+02,-5.3269989e+01,-3.9780029e+01
2023565,4.3529980e+02,-5.3209991e+01,-3.6169983e+01
2023566,4.3782983e+02,-5.3079987e+01,-3.1349976e+01
2023567,3.6571021e+02,-6.7440002e+01,-8.6469971e+01
2023568,3.8639990e+02,-6.4139984e+01,-7.4319977e+01
2023569,4.0738989e+02,-5.9970001e+01,-6.5100006e+01
2023570,4.2365015e+02,-5.4969971e+01,-5.6130005e+01
2023571,4.3059009e+02,-5.4839996e+01,-4.5520020e+01
2023572,4.3151001e+02,-5.4079987e+01,-4.4929993e+01
2023573,4.3138989e+02,-5.3390015e+01,-4.2609985e+01
2023574,4.3303027e+02,-5.3440002e+01,-4.0500000e+01
2023575,4.3565991e+02,-5.3170013e+01,-3.5929993e+01
2023576,4.3861011e+02,-5.3190002e+01,-3.1910004e+01
2023577,3.9263989e+02,-6.2260010e+01,-8.4630005e+01
2023578,3.9901001e+02,-6.6100006e+01,-7.6570007e+01
2023579,4.0777002e+02,-6.3300018e+01,-6.9100006e+01
2023580,4.1463989e+02,-5.9450012e+01,-6.4629974e+01
2023581,4.2027002e+02,-5.5959991e+01,-6.0809998e+01
2023582,4.2358984e+02,-5.7570007e+01,-5.6760010e+01
2023583,4.2771973e+02,-5.4520020e+01,-5.0940002e+01
2023584,4.3238989e+02,-5.3320007e+01,-4.5699982e+01
2023585,4.3645996e+02,-5.2890015e+01,-3.9279999e+01
2023586,4.4130005e+02,-5.2990021e+01,-3.3809998e+01
2023587,4.1408008e+02,-7.1509995e+01,-8.9710022e+01
2023588,4.1820996e+02,-7.1529984e+01,-8.3289978e+01
2023589,4.2339014e+02,-6.8160004e+01,-7.7779999e+01
2023590,4.2824976e+02,-6.7220016e+01,-7.2179993e+01
2023591,4.3302002e+02,-6.1739990e+01,-6.7370026e+01
2023592,4.3860034e+02,-5.6389984e+01,-6.4990021e+01
2023593,4.4222021e+02,-5.2959991e+01,-5.9599976e+01
2023594,4.4666968e+02,-5.1380005e+01,-5.5849976e+01
2023595,4.5064990e+02,-4.7910004e+01,-5.1490021e+01
2023596,4.5540991e+02,-4.7389984e+01,-4.7229980e+01
2023597,4.4823999e+02,-5.0089996e+01,-3.9239990e+01
2023598,4.4421021e+02,-5.1199982e+01,-4.5269989e+01
